target_query,canonical_url,index_status,cited,cited_source,ai_referral,last_test
AI otomasyon hazırlık kontrolü,https://synapseautomate.github.io/rehberler/ai-otomasyon-hazirlik-kontrolu.html,unknown,unknown,,0,
site AI hazırlık,https://synapseautomate.github.io/rehberler/site-ai-hazirlik.html,unknown,unknown,,0,
workflow hazırlık hesaplayıcı,https://synapseautomate.github.io/rehberler/workflow-hazirlik-hesaplayici.html,unknown,unknown,,0,
AI süreç denetimi,https://synapseautomate.github.io/rehberler/ai-surec-denetimi.html,unknown,unknown,,0,
AI data provenance,https://synapseautomate.github.io/rehberler/ai-data-provenance.html,unknown,unknown,,0,
AI insan onayı iş akışı,https://synapseautomate.github.io/rehberler/ai-insan-onayi-is-akisi.html,unknown,unknown,,0,
AI tool yetki sınırları,https://synapseautomate.github.io/rehberler/ai-tool-yetki-sinirlari.html,unknown,unknown,,0,
site katalog AI hazırlık,https://synapseautomate.github.io/rehberler/site-katalog-ai-hazirlik-rehberi.html,unknown,unknown,,0,
hukuk AI otomasyon kontrolü,https://synapseautomate.github.io/rehberler/hukuk-uyum-ai-otomasyon-rehberi.html,unknown,unknown,,0,
AI güvenilirlik 100 vaka,https://synapseautomate.github.io/kanit/100-vaka-ai-guvenilirlik-regresyon-raporu.html,unknown,unknown,,0,
