kategori,is_akisi,girdi,karar,cikti,ekonomik_sonuc,owner,human_gate
İhracat,İhracat evrak ön kontrolü,"Fatura, çeki listesi, GTİP/ürün bilgisi",Eksik/uyumsuz alan var mı?,İnceleme listesi,Gecikme ve tekrar işleme azalması,İhracat operasyon sorumlusu,Gönderim öncesi son onay
İhracat,Gümrük belge eşleştirme,"Sipariş, fatura, taşıma belgesi",Belgeler birbiriyle tutarlı mı?,Tutarsızlık kuyruğu,Gümrükte bekleme riskinin azalması,Dış ticaret uzmanı,Beyan/onay insanda
İhracat,Müşteri ülke/teslim şartı kontrolü,Sipariş ve teslim koşulları,Operasyon kuralına uyuyor mu?,Kontrol özeti,Yanlış sevkiyat ve revizyon azalması,İhracat operasyonu,Ticari/hukuki karar insanda
İhracat,Sevkiyat istisna triage,"Taşıyıcı olayları, ETA, sipariş önceliği",Hangi kayıt önce incelenmeli?,Öncelik kuyruğu,Gecikmeye müdahale süresinin kısalması,Lojistik sorumlusu,Taşıyıcı/müşteri aksiyonu onaylı
İhracat,İhracat müşteri doküman paketi hazırlama,Onaylı sipariş ve belgeler,Hangi belgeler pakete girecek?,Kaynaklı paket taslağı,Hazırlama süresi azalması,İhracat operasyonu,Gönderim insanda
Satın Alma,Tedarikçi teklif karşılaştırma,"Teklifler, termin, ödeme koşulları",Hangi teklif kriterlere göre avantajlı?,Karşılaştırma tablosu,Karar süresi ve fiyat farkı görünürlüğü,Satın alma yöneticisi,Tedarikçi seçimi insanda
Satın Alma,Satın alma talebi ön kontrolü,"Talep formu, bütçe, kategori",Eksik/onaysız alan var mı?,Onay öncesi kontrol listesi,Geri dönüş ve bekleme azalması,Satın alma operasyonu,Bütçe/onay insanda
Satın Alma,Sipariş onay yönlendirme,"Talep tutarı, kategori, departman",Hangi onay sahibi gerekli?,Doğru onay kuyruğu,Onay bekleme süresi azalması,Satın alma operasyonu,Onay insanda
Satın Alma,Tedarikçi teslimat gecikme sinyali,"PO, termin, teslim kayıtları",Gecikme riski taşıyor mu?,İnceleme sinyali,Stok/üretim kesintisi riskinin azalması,Tedarik planlama,Tedarikçi aksiyonu insanda
Satın Alma,Sözleşme alan çıkarımı,Tedarikçi sözleşmesi,"Termin, fiyat, yenileme, ceza alanları neler?",Madde/alan özeti,İnceleme süresi azalması,Satın alma + hukuk,Hukuki yorum insanda
Muhasebe,Fatura-PO eşleştirme ön kontrolü,"Fatura, PO, teslim kaydı",Tutar/kalem/tedarikçi eşleşiyor mu?,İstisna listesi,Manuel kontrol ve hata azalması,Muhasebe sorumlusu,Muhasebe kaydı/onay insanda
Muhasebe,Masraf fişi sınıflandırma,"Fiş/fatura görseli, kategori kuralları",Hangi kategori ve proje?,Düzenlenebilir kayıt taslağı,Veri giriş süresi azalması,Muhasebe operasyonu,Kayıt onayı insanda
Muhasebe,Cari mutabakat fark triage,Cari ekstre ve iç kayıtlar,Hangi kalemlerde fark var?,Fark listesi,Mutabakat süresi azalması,Muhasebe uzmanı,Düzeltme/kayıt insanda
Muhasebe,Tahsilat önceliklendirme,"Vade, bakiye, iletişim geçmişi",Hangi kayıt önce incelenmeli?,İnsan arama/inceleme kuyruğu,Nakit dönüş süresine destek,Finans/muhasebe,Müşteri iletişimi insanda
Muhasebe,Aylık rapor veri toplama,ERP/Sheet çıktı ve dönem kuralları,Eksik/aykırı veri var mı?,Kaynaklı rapor taslağı,Rapor hazırlama süresi azalması,Finans yöneticisi,Son rapor/yayın insanda
Muhasebe,Vergi evrak checklist,Dönem evrakları ve checklist,Eksik evrak var mı?,Eksik evrak listesi,Son dakika eksiklerinin azalması,Muhasebe,Vergi/hukuki yorum insanda
E-Ticaret,Sipariş istisna triage,"Sipariş, ödeme, stok, kargo olayı",Hangi sipariş insan incelemesi istiyor?,Öncelik kuyruğu,Müşteri bekleme ve operasyon süresi azalması,E-ticaret operasyonu,İade/ödeme/müşteri mesajı insanda
E-Ticaret,Stok tükenme sinyali,"Stok, satış hızı, tedarik süresi",Hangi SKU riskte?,Stok risk listesi,Stok dışı satış ve kayıp fırsatın azalmasına destek,E-ticaret yöneticisi,Sipariş/tedarik kararı insanda
E-Ticaret,Ürün katalog veri kalite kontrolü,"Ürün feed'i, zorunlu alanlar",Eksik/tutarsız alan var mı?,Düzeltme kuyruğu,Listeleme hatası ve manuel kontrol azalması,E-ticaret içerik operasyonu,Yayın insanda
E-Ticaret,İade talebi ön sınıflandırma,"İade nedeni, sipariş, ürün, politika",Hangi politika/ekip incelemeli?,İnceleme taslağı,İade işleme süresi azalması,Müşteri deneyimi,İade kararı/ödeme insanda
E-Ticaret,Fiyat karar destek özeti,"Maliyet, stok, rakip/kanal verisi, kural",Fiyat incelemesi gereken SKU hangisi?,Karar destek listesi,Marj ve stok görünürlüğü,E-ticaret yöneticisi,Fiyat değişikliği insanda
E-Ticaret,Kampanya uygunluk kontrolü,"Kampanya kuralları, ürün, marj, stok",Ürün kampanyaya uygun mu?,Kontrol taslağı,Hatalı kampanya riski azalması,E-ticaret/pazarlama,Yayın/fiyat onayı insanda
E-Ticaret,Müşteri talebi önceliklendirme,Form/chat/e-posta talebi,"Konu, aciliyet, sipariş etkisi nedir?",İnsan yanıt kuyruğu,İlk yanıt süresi azalması,Müşteri deneyimi,Yanıt/taahhüt insanda
E-Ticaret,Ürün açıklaması veri-temelli taslak,Onaylı ürün özellikleri ve marka dili,Hangi bilgiler kullanılabilir?,Kaynaklı metin taslağı,İçerik üretim süresi azalması,İçerik yöneticisi,Yayın insanda
E-Ticaret,Pazaryeri feed hata triage,"Feed hata kodu, ürün kaydı",Hata nedeni ve düzeltme adımı nedir?,Düzeltme kuyruğu,Listeleme kesintisi süresi azalması,E-ticaret operasyonu,Değişiklik/yayın insanda
E-Ticaret,Kargo gecikme müşteri kuyruğu,"Kargo olayları, sipariş önceliği",Hangi müşteriye önce dönüş gerekli?,Öncelikli iletişim listesi,Şikayet ve manuel arama süresi azalması,Müşteri deneyimi,Müşteri mesajı insanda
E-Ticaret,Sepet terk neden analizi,"Anonim funnel olayları, cihaz/kanal",Hangi adımda kayıp yoğun?,Analiz özeti,Dönüşüm sürtünmesinin görünürlüğü,E-ticaret yöneticisi,Deney/yayın kararı insanda
E-Ticaret,Kişiselleştirilmiş öneri karar desteği,İzinli davranış/veri ve ürün kataloğu,Hangi ürünler uygun aday?,Öneri aday listesi,Sepet/keşif deneyimine destek,E-ticaret yöneticisi,Kural/yayın insanda
E-Ticaret,Ürün yorum konu sınıflandırma,Yorum metni ve ürün ID,Hangi tema/sorun öne çıkıyor?,Tema raporu,Ürün/içerik iyileştirme sinyali,Ürün/e-ticaret yöneticisi,Aksiyon insanda
E-Ticaret,Sipariş sonrası kalite sinyali,"İade, şikayet, gecikme olayları",Hangi ürün/tedarikçi inceleme ister?,Kalite sinyal listesi,Tekrar eden sorunların görünürlüğü,E-ticaret operasyonu,Tedarikçi/ürün kararı insanda
