id,language,sector,solution,intent,query,canonical_url,status,indexed,search_signal,ai_citation
1,tr,"Sağlık - Diş, Estetik, Wellness",Müşteri Talebi ve Satış Takibi,problem,"Sağlık - Diş, Estetik, Wellness sürecinde en sık otomasyon kaybı nerede oluşur?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
2,tr,"Sağlık - Diş, Estetik, Wellness",Müşteri Talebi ve Satış Takibi,how,"Sağlık - Diş, Estetik, Wellness için Müşteri Talebi ve Satış Takibi hangi veriyi ister?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
3,tr,"Sağlık - Diş, Estetik, Wellness",Müşteri Talebi ve Satış Takibi,risk,"Sağlık - Diş, Estetik, Wellness otomasyonunda hassas veri nasıl sınırlandırılır?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
4,tr,"Sağlık - Diş, Estetik, Wellness",Müşteri Talebi ve Satış Takibi,commercial,"Sağlık - Diş, Estetik, Wellness için 14 günlük shadow pilot nedir?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
5,tr,"Sağlık - Diş, Estetik, Wellness",Müşteri Talebi ve Satış Takibi,compare,"Sağlık - Diş, Estetik, Wellness AI otomasyonunda hangi kanıt güvenilir?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
6,tr,"Sağlık - Diş, Estetik, Wellness",Site ve Katalog AI Uyumluluğu,problem,"Sağlık - Diş, Estetik, Wellness sürecinde en sık otomasyon kaybı nerede oluşur?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
7,tr,"Sağlık - Diş, Estetik, Wellness",Site ve Katalog AI Uyumluluğu,how,"Sağlık - Diş, Estetik, Wellness için Site ve Katalog AI Uyumluluğu hangi veriyi ister?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
8,tr,"Sağlık - Diş, Estetik, Wellness",Site ve Katalog AI Uyumluluğu,risk,"Sağlık - Diş, Estetik, Wellness otomasyonunda hassas veri nasıl sınırlandırılır?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
9,tr,"Sağlık - Diş, Estetik, Wellness",Site ve Katalog AI Uyumluluğu,commercial,"Sağlık - Diş, Estetik, Wellness için 14 günlük shadow pilot nedir?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
10,tr,"Sağlık - Diş, Estetik, Wellness",Site ve Katalog AI Uyumluluğu,compare,"Sağlık - Diş, Estetik, Wellness AI otomasyonunda hangi kanıt güvenilir?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
11,tr,"Sağlık - Diş, Estetik, Wellness",İçerik ve Kreatif Üretim Sistemi,problem,"Sağlık - Diş, Estetik, Wellness sürecinde en sık otomasyon kaybı nerede oluşur?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
12,tr,"Sağlık - Diş, Estetik, Wellness",İçerik ve Kreatif Üretim Sistemi,how,"Sağlık - Diş, Estetik, Wellness için İçerik ve Kreatif Üretim Sistemi hangi veriyi ister?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
13,tr,"Sağlık - Diş, Estetik, Wellness",İçerik ve Kreatif Üretim Sistemi,risk,"Sağlık - Diş, Estetik, Wellness otomasyonunda hassas veri nasıl sınırlandırılır?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
14,tr,"Sağlık - Diş, Estetik, Wellness",İçerik ve Kreatif Üretim Sistemi,commercial,"Sağlık - Diş, Estetik, Wellness için 14 günlük shadow pilot nedir?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
15,tr,"Sağlık - Diş, Estetik, Wellness",İçerik ve Kreatif Üretim Sistemi,compare,"Sağlık - Diş, Estetik, Wellness AI otomasyonunda hangi kanıt güvenilir?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
16,tr,"Sağlık - Diş, Estetik, Wellness",Etkileşimli Teklif ve Hesaplayıcı,problem,"Sağlık - Diş, Estetik, Wellness sürecinde en sık otomasyon kaybı nerede oluşur?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
17,tr,"Sağlık - Diş, Estetik, Wellness",Etkileşimli Teklif ve Hesaplayıcı,how,"Sağlık - Diş, Estetik, Wellness için Etkileşimli Teklif ve Hesaplayıcı hangi veriyi ister?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
18,tr,"Sağlık - Diş, Estetik, Wellness",Etkileşimli Teklif ve Hesaplayıcı,risk,"Sağlık - Diş, Estetik, Wellness otomasyonunda hassas veri nasıl sınırlandırılır?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
19,tr,"Sağlık - Diş, Estetik, Wellness",Etkileşimli Teklif ve Hesaplayıcı,commercial,"Sağlık - Diş, Estetik, Wellness için 14 günlük shadow pilot nedir?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
20,tr,"Sağlık - Diş, Estetik, Wellness",Etkileşimli Teklif ve Hesaplayıcı,compare,"Sağlık - Diş, Estetik, Wellness AI otomasyonunda hangi kanıt güvenilir?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
21,tr,"Sağlık - Diş, Estetik, Wellness",Sesli Not ve Saha İş Akışı,problem,"Sağlık - Diş, Estetik, Wellness sürecinde en sık otomasyon kaybı nerede oluşur?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
22,tr,"Sağlık - Diş, Estetik, Wellness",Sesli Not ve Saha İş Akışı,how,"Sağlık - Diş, Estetik, Wellness için Sesli Not ve Saha İş Akışı hangi veriyi ister?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
23,tr,"Sağlık - Diş, Estetik, Wellness",Sesli Not ve Saha İş Akışı,risk,"Sağlık - Diş, Estetik, Wellness otomasyonunda hassas veri nasıl sınırlandırılır?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
24,tr,"Sağlık - Diş, Estetik, Wellness",Sesli Not ve Saha İş Akışı,commercial,"Sağlık - Diş, Estetik, Wellness için 14 günlük shadow pilot nedir?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
25,tr,"Sağlık - Diş, Estetik, Wellness",Sesli Not ve Saha İş Akışı,compare,"Sağlık - Diş, Estetik, Wellness AI otomasyonunda hangi kanıt güvenilir?",https://synapseautomate.github.io/sektorler/saglik.html,planned,unknown,unknown,unknown
26,tr,Finans & Bankacılık,Müşteri Talebi ve Satış Takibi,problem,Finans & Bankacılık sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
27,tr,Finans & Bankacılık,Müşteri Talebi ve Satış Takibi,how,Finans & Bankacılık için Müşteri Talebi ve Satış Takibi hangi veriyi ister?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
28,tr,Finans & Bankacılık,Müşteri Talebi ve Satış Takibi,risk,Finans & Bankacılık otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
29,tr,Finans & Bankacılık,Müşteri Talebi ve Satış Takibi,commercial,Finans & Bankacılık için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
30,tr,Finans & Bankacılık,Müşteri Talebi ve Satış Takibi,compare,Finans & Bankacılık AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
31,tr,Finans & Bankacılık,Site ve Katalog AI Uyumluluğu,problem,Finans & Bankacılık sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
32,tr,Finans & Bankacılık,Site ve Katalog AI Uyumluluğu,how,Finans & Bankacılık için Site ve Katalog AI Uyumluluğu hangi veriyi ister?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
33,tr,Finans & Bankacılık,Site ve Katalog AI Uyumluluğu,risk,Finans & Bankacılık otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
