answer_id,cluster,topic,question,answer,word_count,canonical_url,boundary
A001,E-Ticaret,sipariş istisnası,Sipariş istisnası otomasyonunda güvenilir başlangıç nasıl tasarlanır?,"Sipariş istisnası otomasyonunda önce input kaynağı, gerekli alanlar, hata durumu ve karar sahibi ayrılır. Structured extraction yalnız kaynaktaki bilgiyi çıkarır; bulunmayan alan null/unknown kalır. Deterministik validator kural ihlalini durdurur, yüksek etkili veya belirsiz durum insan incelemesine gider. Başarı, yalnız hız değil hata/istisna ve doğru handoff ile ölçülür.",49,https://synapseautomate.github.io/cozumler/e-ticaret-operasyon-otomasyonu.html,Eksik/çelişkili veya yüksek etkili durumda human review/approval.
A002,E-Ticaret,stok uyumsuzluğu,Stok uyumsuzluğu otomasyonunda güvenilir başlangıç nasıl tasarlanır?,"Stok uyumsuzluğu otomasyonunda önce input kaynağı, gerekli alanlar, hata durumu ve karar sahibi ayrılır. Structured extraction yalnız kaynaktaki bilgiyi çıkarır; bulunmayan alan null/unknown kalır. Deterministik validator kural ihlalini durdurur, yüksek etkili veya belirsiz durum insan incelemesine gider. Başarı, yalnız hız değil hata/istisna ve doğru handoff ile ölçülür.",49,https://synapseautomate.github.io/cozumler/e-ticaret-operasyon-otomasyonu.html,Eksik/çelişkili veya yüksek etkili durumda human review/approval.
A003,E-Ticaret,iade ön inceleme,Iade ön inceleme otomasyonunda güvenilir başlangıç nasıl tasarlanır?,"Iade ön inceleme otomasyonunda önce input kaynağı, gerekli alanlar, hata durumu ve karar sahibi ayrılır. Structured extraction yalnız kaynaktaki bilgiyi çıkarır; bulunmayan alan null/unknown kalır. Deterministik validator kural ihlalini durdurur, yüksek etkili veya belirsiz durum insan incelemesine gider. Başarı, yalnız hız değil hata/istisna ve doğru handoff ile ölçülür.",50,https://synapseautomate.github.io/cozumler/e-ticaret-operasyon-otomasyonu.html,Eksik/çelişkili veya yüksek etkili durumda human review/approval.
A004,E-Ticaret,pazaryeri feed hatası,Pazaryeri feed hatası otomasyonunda güvenilir başlangıç nasıl tasarlanır?,"Pazaryeri feed hatası otomasyonunda önce input kaynağı, gerekli alanlar, hata durumu ve karar sahibi ayrılır. Structured extraction yalnız kaynaktaki bilgiyi çıkarır; bulunmayan alan null/unknown kalır. Deterministik validator kural ihlalini durdurur, yüksek etkili veya belirsiz durum insan incelemesine gider. Başarı, yalnız hız değil hata/istisna ve doğru handoff ile ölçülür.",50,https://synapseautomate.github.io/cozumler/e-ticaret-operasyon-otomasyonu.html,Eksik/çelişkili veya yüksek etkili durumda human review/approval.
A005,E-Ticaret,müşteri talebi sınıflandırma,Müşteri talebi sınıflandırma otomasyonunda güvenilir başlangıç nasıl tasarlanır?,"Müşteri talebi sınıflandırma otomasyonunda önce input kaynağı, gerekli alanlar, hata durumu ve karar sahibi ayrılır. Structured extraction yalnız kaynaktaki bilgiyi çıkarır; bulunmayan alan null/unknown kalır. Deterministik validator kural ihlalini durdurur, yüksek etkili veya belirsiz durum insan incelemesine gider. Başarı, yalnız hız değil hata/istisna ve doğru handoff ile ölçülür.",50,https://synapseautomate.github.io/cozumler/e-ticaret-operasyon-otomasyonu.html,Eksik/çelişkili veya yüksek etkili durumda human review/approval.
A006,E-Ticaret,fiyat karar hazırlığı,Fiyat karar hazırlığı otomasyonunda güvenilir başlangıç nasıl tasarlanır?,"Fiyat karar hazırlığı otomasyonunda önce input kaynağı, gerekli alanlar, hata durumu ve karar sahibi ayrılır. Structured extraction yalnız kaynaktaki bilgiyi çıkarır; bulunmayan alan null/unknown kalır. Deterministik validator kural ihlalini durdurur, yüksek etkili veya belirsiz durum insan incelemesine gider. Başarı, yalnız hız değil hata/istisna ve doğru handoff ile ölçülür.",50,https://synapseautomate.github.io/cozumler/e-ticaret-operasyon-otomasyonu.html,Eksik/çelişkili veya yüksek etkili durumda human review/approval.
A007,E-Ticaret,kargo gecikmesi,Kargo gecikmesi otomasyonunda güvenilir başlangıç nasıl tasarlanır?,"Kargo gecikmesi otomasyonunda önce input kaynağı, gerekli alanlar, hata durumu ve karar sahibi ayrılır. Structured extraction yalnız kaynaktaki bilgiyi çıkarır; bulunmayan alan null/unknown kalır. Deterministik validator kural ihlalini durdurur, yüksek etkili veya belirsiz durum insan incelemesine gider. Başarı, yalnız hız değil hata/istisna ve doğru handoff ile ölçülür.",49,https://synapseautomate.github.io/cozumler/e-ticaret-operasyon-otomasyonu.html,Eksik/çelişkili veya yüksek etkili durumda human review/approval.
A008,E-Ticaret,ürün veri kalitesi,Ürün veri kalitesi otomasyonunda güvenilir başlangıç nasıl tasarlanır?,"Ürün veri kalitesi otomasyonunda önce input kaynağı, gerekli alanlar, hata durumu ve karar sahibi ayrılır. Structured extraction yalnız kaynaktaki bilgiyi çıkarır; bulunmayan alan null/unknown kalır. Deterministik validator kural ihlalini durdurur, yüksek etkili veya belirsiz durum insan incelemesine gider. Başarı, yalnız hız değil hata/istisna ve doğru handoff ile ölçülür.",50,https://synapseautomate.github.io/cozumler/e-ticaret-operasyon-otomasyonu.html,Eksik/çelişkili veya yüksek etkili durumda human review/approval.
A009,E-Ticaret,kampanya kontrolü,Kampanya kontrolü otomasyonunda güvenilir başlangıç nasıl tasarlanır?,"Kampanya kontrolü otomasyonunda önce input kaynağı, gerekli alanlar, hata durumu ve karar sahibi ayrılır. Structured extraction yalnız kaynaktaki bilgiyi çıkarır; bulunmayan alan null/unknown kalır. Deterministik validator kural ihlalini durdurur, yüksek etkili veya belirsiz durum insan incelemesine gider. Başarı, yalnız hız değil hata/istisna ve doğru handoff ile ölçülür.",49,https://synapseautomate.github.io/cozumler/e-ticaret-operasyon-otomasyonu.html,Eksik/çelişkili veya yüksek etkili durumda human review/approval.
A010,E-Ticaret,raporlama,Raporlama otomasyonunda güvenilir başlangıç nasıl tasarlanır?,"Raporlama otomasyonunda önce input kaynağı, gerekli alanlar, hata durumu ve karar sahibi ayrılır. Structured extraction yalnız kaynaktaki bilgiyi çıkarır; bulunmayan alan null/unknown kalır. Deterministik validator kural ihlalini durdurur, yüksek etkili veya belirsiz durum insan incelemesine gider. Başarı, yalnız hız değil hata/istisna ve doğru handoff ile ölçülür.",48,https://synapseautomate.github.io/cozumler/e-ticaret-operasyon-otomasyonu.html,Eksik/çelişkili veya yüksek etkili durumda human review/approval.
