section,field,value,status_or_formula,expert_question
baseline,collected_revenue_try,0,confirmed,Which legal entity/account should recognize future revenue?
baseline,collected_revenue_usd,0,confirmed,Which settlement currency will be used for international invoices?
cost,payment_processor_fee,,unmeasured,Which processor and fee schedule will apply?
cost,bank_fx_spread,,unmeasured,Which bank/processor FX rate and spread should be booked?
cost,software_api_cost,,unmeasured,Which vendor costs are client-pass-through vs Synapse COGS?
tax,vat_status,,requires expert,Is VAT applicable to each service/invoice type and jurisdiction?
tax,withholding_status,,requires expert,Are there withholding obligations for domestic/international B2B invoices?
accounting,invoice_currency,,decision needed,"Should the standard offer invoice in TRY, USD, or client-local currency?"
accounting,commission_policy,,decision needed,"If partner-sourced, how are commissions documented and paid?"
control,revenue_recognition,,requires expert,"At payment, delivery, milestone, or another accounting event?"
